symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SX5E,N/A,03/30/17,90,3829.837,10,C,0.141411,0.049661
SX5E,N/A,03/30/17,90,3133.503,10,P,0.210509,-0.194001
SX5E,N/A,03/30/17,90,4003.92,15,C,0.137776,0.009627
SX5E,N/A,03/30/17,90,2959.419,15,P,0.233086,-0.099803
SX5E,N/A,03/30/17,90,4178.004,20,C,0.137364,0.001488
SX5E,N/A,03/30/17,90,2785.336,20,P,0.257461,-0.049851
SX5E,N/A,03/30/17,90,4352.087,25,C,0.137327,0.000179
SX5E,N/A,03/30/17,90,2611.252,25,P,0.28255,-0.024323
SX5E,N/A,03/30/17,90,4526.171,30,C,0.137327,0.000017
SX5E,N/A,03/30/17,90,2437.169,30,P,0.309017,-0.01176
SX5E,N/A,03/30/17,90,4700.254,35,C,0.137327,0.000001
SX5E,N/A,03/30/17,90,2263.085,35,P,0.336629,-0.005614
SX5E,N/A,03/30/17,90,4874.338,40,C,0.137327,0
SX5E,N/A,03/30/17,90,2089.002,40,P,0.369811,-0.002892
SX5E,N/A,03/30/17,90,5048.421,45,C,0.137327,0
SX5E,N/A,03/30/17,90,1914.918,45,P,0.375605,-0.000721
SX5E,N/A,03/30/17,90,5222.505,50,C,0.137327,0
SX5E,N/A,03/30/17,90,1740.835,50,P,0.382389,-0.000139
SX5E,N/A,03/30/17,90,5396.588,55,C,0.137327,0
SX5E,N/A,03/30/17,90,1566.751,55,P,0.389649,-0.000019
SX5E,N/A,03/30/17,90,5570.672,60,C,0.137327,0
SX5E,N/A,03/30/17,90,1392.668,60,P,0.389649,-0.000001
SX5E,N/A,03/30/17,120,3481.67,0,C,0.169588,0.409688
SX5E,N/A,03/30/17,120,3481.67,0,P,0.169219,-0.5674
SX5E,N/A,03/30/17,120,3655.753,5,C,0.154705,0.212089
SX5E,N/A,03/30/17,120,3307.586,5,P,0.186986,-0.37196
SX5E,N/A,03/30/17,120,3829.837,10,C,0.144153,0.07768
SX5E,N/A,03/30/17,120,3133.503,10,P,0.206515,-0.223736
