symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SPY,NYSEArca,03/30/17,150,248.104,5,C,0.099058,0.223754
SPY,NYSEArca,03/30/17,150,224.475,5,P,0.144151,-0.275961
SPY,NYSEArca,03/30/17,150,259.919,10,C,0.091691,0.053175
SPY,NYSEArca,03/30/17,150,212.661,10,P,0.169212,-0.153672
SPY,NYSEArca,03/30/17,150,271.733,15,C,0.097208,0.012789
SPY,NYSEArca,03/30/17,150,200.846,15,P,0.194051,-0.086425
SPY,NYSEArca,03/30/17,150,283.548,20,C,0.099166,0.002143
SPY,NYSEArca,03/30/17,150,189.032,20,P,0.219337,-0.049229
SPY,NYSEArca,03/30/17,150,295.362,25,C,0.099166,0.000234
SPY,NYSEArca,03/30/17,150,177.217,25,P,0.244937,-0.028307
SPY,NYSEArca,03/30/17,150,307.177,30,C,0.099166,0.000019
SPY,NYSEArca,03/30/17,150,165.403,30,P,0.271722,-0.016552
SPY,NYSEArca,03/30/17,150,318.991,35,C,0.099166,0.000001
SPY,NYSEArca,03/30/17,150,153.588,35,P,0.299039,-0.009654
SPY,NYSEArca,03/30/17,150,330.806,40,C,0.099166,0
SPY,NYSEArca,03/30/17,150,141.774,40,P,0.328098,-0.005691
SPY,NYSEArca,03/30/17,150,342.621,45,C,0.099166,0
SPY,NYSEArca,03/30/17,150,129.96,45,P,0.356711,-0.003206
SPY,NYSEArca,03/30/17,150,354.435,50,C,0.099166,0
SPY,NYSEArca,03/30/17,150,118.145,50,P,0.384006,-0.001661
SPY,NYSEArca,03/30/17,150,366.249,55,C,0.099166,0
SPY,NYSEArca,03/30/17,150,106.33,55,P,0.390026,-0.000457
SPY,NYSEArca,03/30/17,150,378.064,60,C,0.099166,0
SPY,NYSEArca,03/30/17,150,94.516,60,P,0.390026,-0.000076
SPY,NYSEArca,03/30/17,180,236.29,0,C,0.124168,0.50438
SPY,NYSEArca,03/30/17,180,236.29,0,P,0.124009,-0.486767
SPY,NYSEArca,03/30/17,180,248.104,5,C,0.102453,0.249842
SPY,NYSEArca,03/30/17,180,224.475,5,P,0.146008,-0.294228
SPY,NYSEArca,03/30/17,180,259.919,10,C,0.092038,0.070016
SPY,NYSEArca,03/30/17,180,212.661,10,P,0.169118,-0.174011
SPY,NYSEArca,03/30/17,180,271.733,15,C,0.0946,0.01777
SPY,NYSEArca,03/30/17,180,200.846,15,P,0.192036,-0.103127
SPY,NYSEArca,03/30/17,180,283.548,20,C,0.097154,0.003811
SPY,NYSEArca,03/30/17,180,189.032,20,P,0.214865,-0.060988
SPY,NYSEArca,03/30/17,180,295.362,25,C,0.097154,0.000545
SPY,NYSEArca,03/30/17,180,177.217,25,P,0.238623,-0.036442
SPY,NYSEArca,03/30/17,180,307.177,30,C,0.098706,0.000079
SPY,NYSEArca,03/30/17,180,165.403,30,P,0.263045,-0.021852
SPY,NYSEArca,03/30/17,180,318.991,35,C,0.098706,0.000008
SPY,NYSEArca,03/30/17,180,153.588,35,P,0.288918,-0.013244
SPY,NYSEArca,03/30/17,180,330.806,40,C,0.098706,0.000001
